 a
0 b
valign_align ic
valign_check id
valign_clarify ie
valign_explain if
valign_instruct ig
valign_query_w ih
valign_query_yn ii
valign_reply_n ij
valign_reply_w ik
valign_reply_y il
vamod im
vamod_advcl in
vamod_advmod io
vamod_amod ip
vamod_ccomp iq
vamod_conj_and ir
vamod_conj_but is
vamod_conj_just it
vamod_csubj iu
vamod_dep iv
vamod_det iw
vamod_dobj ix
vamod_iobj iy
vamod_na iz
vamod_nn ja
vamod_npadvmod jb
vamod_nsubj jc
vamod_partmod jd
vamod_pcomp je
vamod_pobj jf
vamod_prep jg
vamod_prep_about jh
vamod_prep_above ji
vamod_prep_across jj
vamod_prep_along jk
vamod_prep_around jl
vamod_prep_as jm
vamod_prep_at jn
vamod_prep_below jo
vamod_prep_beneath jp
vamod_prep_beside jq
vamod_prep_between jr
vamod_prep_by js
vamod_prep_down jt
vamod_prep_for ju
vamod_prep_from jv
vamod_prep_in jw
vamod_prep_like jx
vamod_prep_near jy
vamod_prep_of jz
vamod_prep_on ka
vamod_prep_on_top_of kb
vamod_prep_over kc
vamod_prep_past kd
vamod_prep_than ke
vamod_prep_through kf
vamod_prep_to kg
vamod_prep_towards kh
vamod_prep_under ki
vamod_prep_underneath kj
vamod_prep_up kk
vamod_prep_with kl
vamod_prepc_with km
vamod_rcmod kn
vamod_rel ko
vamod_root kp
vamod_xcomp kq
vattr kr
vattr_dobj ks
vattr_nsubj kt
vattr_prep_above ku
vattr_prep_below kv
vattr_prep_of kw
vaux kx
vaux_nsubj ky
vcc kz
vcc_dobj la
vcc_nsubj lb
vccomp lc
vccomp_acomp ld
vccomp_advcl le
vccomp_advmod lf
vccomp_agent lg
vccomp_amod lh
vccomp_ccomp li
vccomp_conj_and lj
vccomp_conj_but lk
vccomp_conj_just ll
vccomp_conj_negcc lm
vccomp_conj_or ln
vccomp_csubj lo
vccomp_dep lp
vccomp_det lq
vccomp_dobj lr
vccomp_expl ls
vccomp_infmod lt
vccomp_mark lu
vccomp_na lv
vccomp_neg lw
vccomp_nn lx
vccomp_npadvmod ly
vccomp_nsubj lz
vccomp_nsubjpass ma
vccomp_partmod mb
vccomp_pcomp mc
vccomp_pobj md
vccomp_poss me
vccomp_predet mf
vccomp_prep mg
vccomp_prep_a-- mh
vccomp_prep_about mi
vccomp_prep_above mj
vccomp_prep_across mk
vccomp_prep_across_from ml
vccomp_prep_after mm
vccomp_prep_along mn
vccomp_prep_around mo
vccomp_prep_as mp
vccomp_prep_at mq
vccomp_prep_away_from mr
vccomp_prep_before ms
vccomp_prep_below mt
vccomp_prep_beneath mu
vccomp_prep_beside mv
vccomp_prep_between mw
vccomp_prep_beyond mx
vccomp_prep_by my
vccomp_prep_close_to mz
vccomp_prep_down na
vccomp_prep_far_from nb
vccomp_prep_for nc
vccomp_prep_from nd
vccomp_prep_in ne
vccomp_prep_into nf
vccomp_prep_it's ng
vccomp_prep_like nh
vccomp_prep_near ni
vccomp_prep_next_to nj
vccomp_prep_of nk
vccomp_prep_off nl
vccomp_prep_on nm
vccomp_prep_on_top_of nn
vccomp_prep_opposite no
vccomp_prep_out np
vccomp_prep_out_of nq
vccomp_prep_over nr
vccomp_prep_past ns
vccomp_prep_starting nt
vccomp_prep_than nu
vccomp_prep_that nv
vccomp_prep_that's nw
vccomp_prep_through nx
vccomp_prep_to ny
vccomp_prep_toward nz
vccomp_prep_towards oa
vccomp_prep_under ob
vccomp_prep_underneath oc
vccomp_prep_until od
vccomp_prep_up oe
vccomp_prep_with of
vccomp_prep_within og
vccomp_prepc_about oh
vccomp_prepc_above oi
vccomp_prepc_along oj
vccomp_prepc_around ok
vccomp_prepc_as ol
vccomp_prepc_at om
vccomp_prepc_below on
vccomp_prepc_beneath oo
vccomp_prepc_between op
vccomp_prepc_down oq
vccomp_prepc_from or
vccomp_prepc_in os
vccomp_prepc_instead_of ot
vccomp_prepc_like ou
vccomp_prepc_next_to ov
vccomp_prepc_of ow
vccomp_prepc_on ox
vccomp_prepc_over oy
vccomp_prepc_past oz
vccomp_prepc_to pa
vccomp_prepc_under pb
vccomp_prepc_underneath pc
vccomp_prepc_with pd
vccomp_rcmod pe
vccomp_root pf
vccomp_tmod pg
vccomp_xcomp ph
vcheck pi
vcheck_acknowledge pj
vcheck_align pk
vcheck_check pl
vcheck_clarify pm
vcheck_explain pn
vcheck_instruct po
vcheck_query_w pp
vcheck_query_yn pq
vcheck_ready pr
vcheck_reply_n ps
vcheck_reply_w pt
vcheck_reply_y pu
vcheck_uncodable pv
vclarify pw
vclarify_acknowledge px
vclarify_align py
vclarify_check pz
vclarify_clarify qa
vclarify_explain qb
vclarify_instruct qc
vclarify_query_w qd
vclarify_query_yn qe
vclarify_reply_n qf
vclarify_reply_w qg
vclarify_reply_y qh
vconj qi
vconj_and qj
vconj_and_acomp qk
vconj_and_advcl ql
vconj_and_advmod qm
vconj_and_agent qn
vconj_and_amod qo
vconj_and_attr qp
vconj_and_ccomp qq
vconj_and_conj qr
vconj_and_conj_and qs
vconj_and_conj_but qt
vconj_and_conj_just qu
vconj_and_conj_negcc qv
vconj_and_conj_or qw
vconj_and_csubj qx
vconj_and_dep qy
vconj_and_det qz
vconj_and_dobj ra
vconj_and_expl rb
vconj_and_infmod rc
vconj_and_mark rd
vconj_and_na re
vconj_and_neg rf
vconj_and_nn rg
vconj_and_npadvmod rh
vconj_and_nsubj ri
vconj_and_nsubjpass rj
vconj_and_num rk
vconj_and_partmod rl
vconj_and_pcomp rm
vconj_and_pobj rn
vconj_and_poss ro
vconj_and_prep rp
vconj_and_prep_a-- rq
vconj_and_prep_about rr
vconj_and_prep_above rs
vconj_and_prep_across rt
vconj_and_prep_across_from ru
vconj_and_prep_after rv
vconj_and_prep_along rw
vconj_and_prep_alongside rx
vconj_and_prep_around ry
vconj_and_prep_as rz
vconj_and_prep_at sa
vconj_and_prep_away_from sb
vconj_and_prep_before sc
vconj_and_prep_below sd
vconj_and_prep_beneath se
vconj_and_prep_beside sf
vconj_and_prep_between sg
vconj_and_prep_beyond sh
vconj_and_prep_by si
vconj_and_prep_down sj
vconj_and_prep_for sk
vconj_and_prep_from sl
vconj_and_prep_in sm
vconj_and_prep_inside sn
vconj_and_prep_into so
vconj_and_prep_like sp
vconj_and_prep_near sq
vconj_and_prep_nearer sr
vconj_and_prep_next_to ss
vconj_and_prep_of st
vconj_and_prep_off su
vconj_and_prep_on sv
vconj_and_prep_onto sw
vconj_and_prep_opposite sx
vconj_and_prep_out_of sy
vconj_and_prep_over sz
vconj_and_prep_past ta
vconj_and_prep_starting tb
vconj_and_prep_than tc
vconj_and_prep_that td
vconj_and_prep_through te
vconj_and_prep_to tf
vconj_and_prep_towards tg
vconj_and_prep_under th
vconj_and_prep_underneath ti
vconj_and_prep_until tj
vconj_and_prep_up tk
vconj_and_prep_with tl
vconj_and_prepc_above tm
vconj_and_prepc_as tn
vconj_and_prepc_below to
vconj_and_prepc_between tp
vconj_and_prepc_by tq
vconj_and_prepc_from tr
vconj_and_prepc_next_to ts
vconj_and_prepc_of tt
vconj_and_prepc_on tu
vconj_and_prepc_over tv
vconj_and_prepc_past tw
vconj_and_prepc_to tx
vconj_and_prepc_underneath ty
vconj_and_rcmod tz
vconj_and_root ua
vconj_and_tmod ub
vconj_and_xcomp uc
vconj_but ud
vconj_but_advcl ue
vconj_but_advmod uf
vconj_but_amod ug
vconj_but_ccomp uh
vconj_but_conj_and ui
vconj_but_conj_but uj
vconj_but_conj_or uk
vconj_but_dep ul
vconj_but_dobj um
vconj_but_na un
vconj_but_nsubj uo
vconj_but_partmod up
vconj_but_pcomp uq
vconj_but_pobj ur
vconj_but_prep_above us
vconj_but_prep_along ut
vconj_but_prep_at uu
vconj_but_prep_away_from uv
vconj_but_prep_below uw
vconj_but_prep_from ux
vconj_but_prep_in uy
vconj_but_prep_it's uz
vconj_but_prep_of va
vconj_but_prep_that vb
vconj_but_prep_to vc
vconj_but_prep_towards vd
vconj_but_prep_with ve
vconj_but_prepc_of vf
vconj_but_rcmod vg
vconj_but_root vh
vconj_but_xcomp vi
vconj_conj vj
vconj_dep vk
vconj_just vl
vconj_just_advcl vm
vconj_just_ccomp vn
vconj_just_dep vo
vconj_just_dobj vp
vconj_just_pcomp vq
vconj_just_prep_about vr
vconj_just_prep_above vs
vconj_just_prep_of vt
vconj_just_root vu
vconj_just_xcomp vv
vconj_negcc vw
vconj_negcc_acomp vx
vconj_negcc_advmod vy
vconj_negcc_ccomp vz
vconj_negcc_conj_and wa
vconj_negcc_conj_negcc wb
vconj_negcc_dep wc
vconj_negcc_dobj wd
vconj_negcc_nn we
vconj_negcc_nsubj wf
vconj_negcc_pobj wg
vconj_negcc_prep_about wh
vconj_negcc_prep_above wi
vconj_negcc_prep_after wj
vconj_negcc_prep_at wk
vconj_negcc_prep_below wl
vconj_negcc_prep_beside wm
vconj_negcc_prep_from wn
vconj_negcc_prep_in wo
vconj_negcc_prep_like wp
vconj_negcc_prep_of wq
vconj_negcc_prep_to wr
vconj_negcc_prep_underneath ws
vconj_negcc_prep_with wt
vconj_negcc_rcmod wu
vconj_negcc_root wv
vconj_or ww
vconj_or_advcl wx
vconj_or_advmod wy
vconj_or_amod wz
vconj_or_attr xa
vconj_or_ccomp xb
vconj_or_conj_and xc
vconj_or_conj_or xd
vconj_or_dep xe
vconj_or_det xf
vconj_or_dobj xg
vconj_or_na xh
vconj_or_nn xi
vconj_or_npadvmod xj
vconj_or_nsubj xk
vconj_or_nsubjpass xl
vconj_or_partmod xm
vconj_or_pcomp xn
vconj_or_pobj xo
vconj_or_poss xp
vconj_or_prep xq
vconj_or_prep_above xr
vconj_or_prep_across xs
vconj_or_prep_at xt
vconj_or_prep_before xu
vconj_or_prep_below xv
vconj_or_prep_beneath xw
vconj_or_prep_beside xx
vconj_or_prep_between xy
vconj_or_prep_close_to xz
vconj_or_prep_down ya
vconj_or_prep_from yb
vconj_or_prep_in yc
vconj_or_prep_like yd
vconj_or_prep_near ye
vconj_or_prep_of yf
vconj_or_prep_off yg
vconj_or_prep_on yh
vconj_or_prep_onto yi
vconj_or_prep_over yj
vconj_or_prep_past yk
vconj_or_prep_starting yl
vconj_or_prep_through ym
vconj_or_prep_to yn
vconj_or_prep_towards yo
vconj_or_prep_under yp
vconj_or_prep_underneath yq
vconj_or_prep_until yr
vconj_or_prep_with ys
vconj_or_prepc_above yt
vconj_or_prepc_of yu
vconj_or_rcmod yv
vconj_or_root yw
vconj_or_tmod yx
vconj_or_xcomp yy
vcsubj yz
vcsubj_acomp za
vcsubj_ccomp zb
vcsubj_csubj zc
vcsubj_dep zd
vcsubj_dobj ze
vcsubj_nsubj zf
vcsubj_partmod zg
vcsubj_pobj zh
vcsubj_prep zi
vcsubj_prep_about zj
vcsubj_prep_above zk
vcsubj_prep_at zl
vcsubj_prep_below zm
vcsubj_prep_beside zn
vcsubj_prep_between zo
vcsubj_prep_from zp
vcsubj_prep_of zq
vcsubj_prep_on zr
vcsubj_prep_over zs
vcsubj_prep_past zt
vcsubj_prep_through zu
vcsubj_prep_to zv
vcsubj_prep_underneath zw
vcsubj_rcmod zx
vcsubj_root zy
vcsubj_xcomp zz
vdctc aaa
vdctc_dctc aab
vdctc_def aac
vdctc_dem aad
vdctc_el aae
vdctc_indef aaf
vdctc_null aag
vdctc_num aah
vdctc_numpro aai
vdctc_poss aaj
vdctc_posspro aak
vdctc_pro aal
vdctc_relpro aam
vdef aan
vdef_dctc aao
vdef_def aap
vdef_dem aaq
vdef_demnum aar
vdef_el aas
vdef_indef aat
vdef_null aau
vdef_num aav
vdef_numpro aaw
vdef_poss aax
vdef_posspro aay
vdef_pro aaz
vdef_relpro aba
vdem abb
vdem_dctc abc
vdem_def abd
vdem_dem abe
vdem_el abf
vdem_indef abg
vdem_null abh
vdem_num abi
vdem_numpro abj
vdem_poss abk
vdem_posspro abl
vdem_pro abm
vdem_relpro abn
vdemnum abo
vdemnum_dctc abp
vdemnum_def abq
vdemnum_demnum abr
vdemnum_indef abs
vdemnum_null abt
vdemnum_numpro abu
vdemnum_pro abv
vdep abw
vdep_acomp abx
vdep_advcl aby
vdep_advmod abz
vdep_agent aca
vdep_amod acb
vdep_cc acc
vdep_ccomp acd
vdep_conj_and ace
vdep_conj_but acf
vdep_conj_negcc acg
vdep_conj_or ach
vdep_csubj aci
vdep_dep acj
vdep_det ack
vdep_dobj acl
vdep_infmod acm
vdep_iobj acn
vdep_mark aco
vdep_na acp
vdep_neg acq
vdep_nn acr
vdep_npadvmod acs
vdep_nsubj act
vdep_nsubjpass acu
vdep_num acv
vdep_partmod acw
vdep_pcomp acx
vdep_pobj acy
vdep_predet acz
vdep_prep ada
vdep_prep_about adb
vdep_prep_above adc
vdep_prep_across add
vdep_prep_across_from ade
vdep_prep_after adf
vdep_prep_along adg
vdep_prep_alongside adh
vdep_prep_around adi
vdep_prep_as adj
vdep_prep_at adk
vdep_prep_away_from adl
vdep_prep_because_of adm
vdep_prep_before adn
vdep_prep_below ado
vdep_prep_beneath adp
vdep_prep_beside adq
vdep_prep_between adr
vdep_prep_by ads
vdep_prep_close_to adt
vdep_prep_down adu
vdep_prep_for adv
vdep_prep_from adw
vdep_prep_in adx
vdep_prep_inside ady
vdep_prep_into adz
vdep_prep_like aea
vdep_prep_near aeb
vdep_prep_next_to aec
vdep_prep_of aed
vdep_prep_off aee
vdep_prep_on aef
vdep_prep_on_top_of aeg
vdep_prep_onto aeh
vdep_prep_opposite aei
vdep_prep_out aej
vdep_prep_outside aek
vdep_prep_over ael
vdep_prep_past aem
vdep_prep_starting aen
vdep_prep_that aeo
vdep_prep_that's aep
vdep_prep_through aeq
vdep_prep_to aer
vdep_prep_towards aes
vdep_prep_under aet
vdep_prep_underneath aeu
vdep_prep_until aev
vdep_prep_up aew
vdep_prep_with aex
vdep_prepc_above aey
vdep_prepc_around aez
vdep_prepc_as afa
vdep_prepc_at afb
vdep_prepc_below afc
vdep_prepc_from afd
vdep_prepc_instead_of afe
vdep_prepc_like aff
vdep_prepc_next_to afg
vdep_prepc_of afh
vdep_prepc_past afi
vdep_prepc_to afj
vdep_prepc_towards afk
vdep_rcmod afl
vdep_rel afm
vdep_root afn
vdep_tmod afo
vdep_xcomp afp
vdet afq
vdet_advmod afr
vdet_amod afs
vdet_ccomp aft
vdet_dep afu
vdet_det afv
vdet_dobj afw
vdet_iobj afx
vdet_mark afy
vdet_nn afz
vdet_nsubj aga
vdet_pobj agb
vdet_prep_above agc
vdet_prep_at agd
vdet_prep_below age
vdet_prep_beside agf
vdet_prep_between agg
vdet_prep_from agh
vdet_prep_in agi
vdet_prep_of agj
vdet_prep_out_of agk
vdet_prep_past agl
vdet_prep_to agm
vdet_prep_towards agn
vdet_prep_underneath ago
vdet_root agp
vdobj agq
vdobj_acomp agr
vdobj_advcl ags
vdobj_advmod agt
vdobj_agent agu
vdobj_amod agv
vdobj_attr agw
vdobj_cc agx
vdobj_ccomp agy
vdobj_conj_and agz
vdobj_conj_but aha
vdobj_conj_just ahb
vdobj_conj_negcc ahc
vdobj_conj_or ahd
vdobj_csubj ahe
vdobj_dep ahf
vdobj_det ahg
vdobj_dobj ahh
vdobj_expl ahi
vdobj_infmod ahj
vdobj_iobj ahk
vdobj_mark ahl
vdobj_na ahm
vdobj_neg ahn
vdobj_nn aho
vdobj_npadvmod ahp
vdobj_nsubj ahq
vdobj_nsubjpass ahr
vdobj_num ahs
vdobj_partmod aht
vdobj_pcomp ahu
vdobj_pobj ahv
vdobj_poss ahw
vdobj_predet ahx
vdobj_prep ahy
vdobj_prep_a-- ahz
vdobj_prep_about aia
vdobj_prep_above aib
vdobj_prep_across aic
vdobj_prep_across_from aid
vdobj_prep_after aie
vdobj_prep_ahead_of aif
vdobj_prep_along aig
vdobj_prep_alongside aih
vdobj_prep_apart_from aii
vdobj_prep_around aij
vdobj_prep_as aik
vdobj_prep_at ail
vdobj_prep_away_from aim
vdobj_prep_because ain
vdobj_prep_because_of aio
vdobj_prep_before aip
vdobj_prep_below aiq
vdobj_prep_beneath air
vdobj_prep_beside ais
vdobj_prep_between ait
vdobj_prep_beyond aiu
vdobj_prep_by aiv
vdobj_prep_close_to aiw
vdobj_prep_down aix
vdobj_prep_far_from aiy
vdobj_prep_following aiz
vdobj_prep_for aja
vdobj_prep_from ajb
vdobj_prep_in ajc
vdobj_prep_in_front_of ajd
vdobj_prep_inside aje
vdobj_prep_instead_of ajf
vdobj_prep_into ajg
vdobj_prep_it's ajh
vdobj_prep_like aji
vdobj_prep_near ajj
vdobj_prep_nearer ajk
vdobj_prep_next_to ajl
vdobj_prep_of ajm
vdobj_prep_off ajn
vdobj_prep_on ajo
vdobj_prep_on_top_of ajp
vdobj_prep_onto ajq
vdobj_prep_opposite ajr
vdobj_prep_out ajs
vdobj_prep_out_of ajt
vdobj_prep_outside aju
vdobj_prep_outside_of ajv
vdobj_prep_over ajw
vdobj_prep_past ajx
vdobj_prep_starting ajy
vdobj_prep_than ajz
vdobj_prep_that aka
vdobj_prep_that's akb
vdobj_prep_through akc
vdobj_prep_to akd
vdobj_prep_toward ake
vdobj_prep_towards akf
vdobj_prep_under akg
vdobj_prep_underneath akh
vdobj_prep_until aki
vdobj_prep_up akj
vdobj_prep_with akk
vdobj_prep_with_respect_to akl
vdobj_prep_within akm
vdobj_prepc_beneath akn
vdobj_prepc_by ako
vdobj_prepc_from akp
vdobj_prepc_like akq
vdobj_prepc_of akr
vdobj_prepc_past aks
vdobj_prepc_than akt
vdobj_prepc_to aku
vdobj_prepc_towards akv
vdobj_prepc_under akw
vdobj_prepc_underneath akx
vdobj_prepc_with aky
vdobj_rcmod akz
vdobj_rel ala
vdobj_root alb
vdobj_tmod alc
vdobj_xcomp ald
vel ale
vel_dctc alf
vel_def alg
vel_dem alh
vel_el ali
vel_indef alj
vel_null alk
vel_num all
vel_numpro alm
vel_poss aln
vel_posspro alo
vel_pro alp
vel_relpro alq
vexpl alr
vexpl_advmod als
vexpl_ccomp alt
vexpl_dep alu
vexpl_nn alv
vexpl_npadvmod alw
vexpl_pobj alx
vexpl_prep_above aly
vexpl_prep_from alz
vexpl_prep_of ama
vexplain amb
vexplain_acknowledge amc
vexplain_align amd
vexplain_check ame
vexplain_clarify amf
vexplain_explain amg
vexplain_instruct amh
vexplain_query_w ami
vexplain_query_yn amj
vexplain_ready amk
vexplain_reply_n aml
vexplain_reply_w amm
vexplain_reply_y amn
vexplain_uncodable amo
vf amp
vf_f amq
vf_g amr
vg ams
vg_f amt
vg_g amu
vindef amv
vindef_dctc amw
vindef_def amx
vindef_dem amy
vindef_demnum amz
vindef_el ana
vindef_indef anb
vindef_null anc
vindef_num and
vindef_numpro ane
vindef_poss anf
vindef_posspro ang
vindef_pro anh
vindef_relpro ani
vinfmod anj
vinfmod_acomp ank
vinfmod_advmod anl
vinfmod_amod anm
vinfmod_ccomp ann
vinfmod_conj_and ano
vinfmod_dep anp
vinfmod_dobj anq
vinfmod_infmod anr
vinfmod_nsubj ans
vinfmod_partmod ant
vinfmod_pcomp anu
vinfmod_pobj anv
vinfmod_prep_at anw
vinfmod_prep_below anx
vinfmod_prep_between any
vinfmod_prep_from anz
vinfmod_prep_into aoa
vinfmod_prep_near aob
vinfmod_prep_of aoc
vinfmod_prep_over aod
vinfmod_prep_past aoe
vinfmod_prep_to aof
vinfmod_prep_towards aog
vinfmod_prep_underneath aoh
vinfmod_prep_up aoi
vinfmod_prep_with aoj
vinfmod_rcmod aok
vinfmod_root aol
vinfmod_xcomp aom
vinstruct aon
vinstruct_acknowledge aoo
vinstruct_align aop
vinstruct_check aoq
vinstruct_clarify aor
vinstruct_explain aos
vinstruct_instruct aot
vinstruct_query_w aou
vinstruct_query_yn aov
vinstruct_ready aow
vinstruct_reply_n aox
vinstruct_reply_w aoy
vinstruct_reply_y aoz
vinstruct_uncodable apa
viobj apb
viobj_dobj apc
viobj_iobj apd
viobj_nsubj ape
vmark apf
vmark_advcl apg
vmark_advmod aph
vmark_amod api
vmark_conj_and apj
vmark_dobj apk
vmark_iobj apl
vmark_mark apm
vmark_na apn
vmark_nn apo
vmark_nsubj app
vmark_pobj apq
vmark_prep_above apr
vmark_prep_apart_from aps
vmark_prep_as apt
vmark_prep_at apu
vmark_prep_below apv
vmark_prep_far_from apw
vmark_prep_it's apx
vmark_prep_next_to apy
vmark_prep_of apz
vmark_prep_outside aqa
vmark_prep_past aqb
vmark_rcmod aqc
vmark_root aqd
vna aqe
vna_advmod aqf
vna_amod aqg
vna_ccomp aqh
vna_conj_and aqi
vna_dep aqj
vna_dobj aqk
vna_na aql
vna_nn aqm
vna_nsubj aqn
vna_pobj aqo
vna_prep_above aqp
vna_prep_at aqq
vna_prep_away_from aqr
vna_prep_below aqs
vna_prep_between aqt
vna_prep_from aqu
vna_prep_of aqv
vna_prep_to aqw
vna_prep_towards aqx
vna_prep_underneath aqy
vna_prep_with aqz
vna_root ara
vneg arb
vneg_dep arc
vneg_dobj ard
vneg_num are
vneg_prep_at arf
vneg_prep_from arg
vneg_prep_past arh
vneg_prep_to ari
vneg_root arj
vneg_xcomp ark
vnn arl
vnn_advcl arm
vnn_advmod arn
vnn_amod aro
vnn_cc arp
vnn_ccomp arq
vnn_conj_and arr
vnn_conj_but ars
vnn_conj_or art
vnn_dep aru
vnn_det arv
vnn_dobj arw
vnn_expl arx
vnn_iobj ary
vnn_mark arz
vnn_na asa
vnn_neg asb
vnn_nn asc
vnn_npadvmod asd
vnn_nsubj ase
vnn_nsubjpass asf
vnn_num asg
vnn_partmod ash
vnn_pcomp asi
vnn_pobj asj
vnn_poss ask
vnn_prep asl
vnn_prep_about asm
vnn_prep_above asn
vnn_prep_across aso
vnn_prep_across_from asp
vnn_prep_after asq
vnn_prep_along asr
vnn_prep_alongside ass
vnn_prep_apart_from ast
vnn_prep_around asu
vnn_prep_as asv
vnn_prep_at asw
vnn_prep_away_from asx
vnn_prep_below asy
vnn_prep_beneath asz
vnn_prep_beside ata
vnn_prep_between atb
vnn_prep_beyond atc
vnn_prep_by atd
vnn_prep_close_to ate
vnn_prep_down atf
vnn_prep_for atg
vnn_prep_from ath
vnn_prep_in ati
vnn_prep_in_front_of atj
vnn_prep_inside atk
vnn_prep_instead_of atl
vnn_prep_into atm
vnn_prep_it's atn
vnn_prep_like ato
vnn_prep_near atp
vnn_prep_next_to atq
vnn_prep_of atr
vnn_prep_off ats
vnn_prep_on att
vnn_prep_on_top_of atu
vnn_prep_onto atv
vnn_prep_outside atw
vnn_prep_outside_of atx
vnn_prep_over aty
vnn_prep_past atz
vnn_prep_that aua
vnn_prep_through aub
vnn_prep_to auc
vnn_prep_toward aud
vnn_prep_towards aue
vnn_prep_under auf
vnn_prep_underneath aug
vnn_prep_until auh
vnn_prep_with aui
vnn_prepc_to auj
vnn_rcmod auk
vnn_root aul
vnn_tmod aum
vnn_xcomp aun
